Platform;CPU;Cores;Frequency (MHz);Architecture;MWIPS;MWIPS MP;MWIPS mono;MWIPS netcore;MWIPS java;MWIPS js
MBE1C-PC;Elbrus 1C+ (MBE1C-PC);1;985;e2k;1 277,55;1312;388,32;;390,89;
Orange Pi Win;Allwinner A64 (aarch64);4;1344;aarch64;700,60;1854;;359,00;;102,18
Raspberry PI 3;Broadcom BCM2837B0 (armv8);4;1200;aarch64;997,20;2779,8;;;183,43;
Orange Pi PC2;Allwinner H5 (aarch64);4;1152;aarch64;980,26;3798;349,36;400,24;;172,81
Odroid X2;Samsung Exynos 4412 (armv7l);4;1700;arm;1 305,16;4291;256,84;650,11;;
Core 2 Duo T9400;Intel(R) Core(TM) 2 Duo CPU     T9400  @ 2.53GHz;2;2530;amd64;2 910,33;5195;1 565,27;1 992,41;;
AMD A6-3650;AMD A6-3650 APU with Radeon(tm) HD Graphics;4;2600;amd64;3 718,16;12113;1 607,52;1 823,62;2 127,90;2098,08
E8C-SWTX;Elbrus 8C (E8C-SWTX);8;1300;e2k;1 517,62;12980;522,99;;1036,59;35,3
Core i7-2600;Intel(R) Core(TM) i7-2600 CPU @ 3.40GHz;8;3400;amd64;5 729,52;31319;2 751,55;3 262,26;;
E8C-E8C4;Elbrus 8C (4 CPU);32;1300;e2k;1 647,51;53563;521,70;;1022,26;35,1
